Genre: Free Form,From: 2023-08-01,Thru: 2024-03-22
Compiled: 2024-03-22 02:15
Show,Date,Track,Dur,Artist,Album,Released,Label,Composer
WXTJ Special Programming,2023-08-02,Cigarette Daydreams,3:28,Cage The Elephant,Melophobia,2013,RCA Records,""
WXTJ Special Programming,2023-08-02,Take It Or Leave It,3:27,Cage The Elephant,Melophobia,2013,RCA Records,""
WXTJ Special Programming,2023-08-02,Sweet Talk,3:12,Saint Motel,Saintmotelevision,2016,Elektra records,""
WXTJ Special Programming,2023-08-02,Happen To Me,3:52,BENEE,Single,2020,Republic records,""
WXTJ Special Programming,2023-08-02,Moon River,3:08,Frank Ocean,Single,2018,2018 Blonded,""
WXTJ Special Programming,2023-08-02,summer in July,3:45,Yukon Blonde,Critical Hit,2018,Yukon Blonde,""
WXTJ Special Programming,2023-08-02,This Is What Falling In Love Feels Like,2:00,JVKE,This Is What Falling In Love Feels Like,2022,JVKE music llc,""
WXTJ Special Programming,2023-08-02,Electric Feel,3:49,MGMT,Oracular Spectacular,2007,Sony Bmg Music Entretainment,""
WXTJ Special Programming,2023-08-02,Kill Bill,2:34,Sza,Sos,2022,Top Dawg Entretainment,""
WXTJ Special Programming,2023-08-02,Calm Down,3:59,"Rema, selena gomez",Rave And Roses Ultra,2023,Marvin Records,""
WXTJ Special Programming,2023-08-02,I Wanna Be Yours,3:04,Artic Monkeys,Am,2013,Domino Recording Co,""
WXTJ Special Programming,2023-08-02,What Was I Made For,3:42,Billie Illish,Single,2023,Darkroom/ Interscope Records,""
WXTJ Special Programming,2023-08-02,Anti hero,3:21,Taylor Swift,Midnights,2022,2022 Taylor Swift,""
WXTJ Special Programming,2023-08-02,Late Night Talking,2:58,Harry Styles,Harry's House,2023,Erskine Records Limited,""
WXTJ Special Programming,2023-08-02,Mona Lisa,2:37,"Valntn, Peter Fenn, Tray Haggerty",Mona Lisa,2020,2019 Swimminhg Pool,""
WXTJ Special Programming,2023-08-02,8Teen,3:48,Khalid,American Teen,2017,RCA Records,""
WXTJ Special Programming,2023-08-02,Love Language,3:04,Sza,Sos,2022,Top Dawg Emtrtainemnt,""
WXTJ Special Programming,2023-08-02,August,4:22,Taylor Swift,Folklore,2020,202 Taylor Swift,""
WXTJ Special Programming,2023-08-02,Shameless,3:40,Camila Cabello,Romance,2019,"Simco Ltd, Sony Entratinment",""
WXTJ Special Programming,2023-08-02,Thunder,"","Lucas Estrada, brendan mills, bellax",Single,2023,2023 Loudkult,""
WXTJ Special Programming,2023-08-02,Pompeii,3:34,Bastille,Bad Blood,2013,Virgin Records  Limited,""
WXTJ Special Programming,2023-08-02,Young And Beautiful,3:36,Lana Del Rey,Young And Beautiful,2013,"Lana Del Rey, Interscope Records",""
WXTJ Special Programming,2023-08-02,Watati,2:46,"Karol G, Aldo Ranks",Single,2023,UMG records,""
WXTJ Special Programming,2023-08-02,Sleepy Head,2:55,Passion Pit,Chunck Of Change,2008,French Kiss Records,""
WXTJ Special Programming,2023-08-02,Disfruto,4:04,Carla Morrison,Dejenme Llorar,2012,Carlra Morrison  Cosmica Artists,""
WXTJ Special Programming,2023-08-02,Fire And The Flood,4:09,Vance Joy,Dream Your Life Away,2014,Atlantic Recording Corporation,""
WXTJ Special Programming,2023-08-02,Debi Suponerlo,2:24,Morat,Si Ayer Fuera Hoy,2022,Universal Music Spain,""
WXTJ Special Programming,2023-08-02,Out Of Time,3:34,The Weekend,Dawn Fm,2022,"the weekend XO, republic records",""
WXTJ Special Programming,2023-08-02,Dog Days Are Over,4:12,Florence + The Machine,Lungs,2009,Universal Island Records,""
WXTJ Special Programming,2023-08-02,Ordinary Love,3:47,U2,songs of experince,2017,Universal Music  Operations Limi,""
WXTJ Special Programming,2023-08-02,Nonsense,2:44,Sabrina Carpenter,Emails I Can't Send,2022,"island records, UMG r ecordings",""
WXTJ Special Programming,2023-08-02,Beso,3:15,"Rosalia , Rauw Alejandro",RR,2023,Columbia Records,""
WXTJ Special Programming,2023-08-02,Walking On A Dream,3:18,Empire Of The Sun,Walking On A Dream,2022,The Sleepy Jackson,""
WXTJ Special Programming,2023-08-02,Out Of Love,3:48,Alessia Cara,The Pains Of Growing,2023,Def Jam Recordings,""
WXTJ Special Programming,2023-08-02,Heaven Falls/fall on me,4:00,Surfaces,Where The Light Is,2019,"Surfaces Music , Ten Thousands P",""
WXTJ Special Programming,2023-08-02,Open Up My Heart,2:58,Foster,Open Up My Heart,2019,2019 Foster,""
WXTJ Special Programming,2023-08-09,Tell Me,3:56,Groove Theory,Groove Theory,1995,Sony,""
WXTJ Special Programming,2023-08-09,You dont know my name,6:06,Alicia keys,The Diary of Alicia Keys,2003,PCA,""
WXTJ Special Programming,2023-08-09,Can We Talk,4:44,Tevin Cambell,I'm Ready,1993,Warner,""
WXTJ Special Programming,2023-08-09,You Used To Me,4:29,Faith Evans,Faith,1995,Bad Boy,""
WXTJ Special Programming,2023-08-09,Mary's Joint,5:00,Mary J Blige,My Life,1994,Republic,""
WXTJ Special Programming,2023-08-09,I shouldve cheated,5:27,Keyshia Cole,The way it is,2005,A&M,""
WXTJ Special Programming,2023-08-09,Stressed Out,3:35,Babyface,Face 2 Face,2001,Arista,""
WXTJ Special Programming,2023-08-09,Cry me a river,4:48,Justin Timberlake,Justified,2002,Zomba,""
WXTJ Special Programming,2023-08-09,Didn't cha know,3:58,Erykah Badu,Mama's Gun,2000,Universal,""
WXTJ Special Programming,2023-08-09,Ease My Mind,"",Jazz Liberatorz,Chin D'oeil,2008,Kif,""
WXTJ Special Programming,2023-08-09,"I Know, Didn't I","","Slimkid3, DJ Nu-Mark",Slimkid3 & DJ Nu-Mark,2014,HOT PLATE RECORDS,""
WXTJ Special Programming,2023-08-09,Can't Take My Eyes Off You,"",Ms. Lauryn Hill,The Miseducation of Lauryn Hill,1998,Ruffhouse Records,""
WXTJ Special Programming,2023-08-09,You Don't Know My Name,"",Ivy Sole,Eden,2016,Ivy Sole Music,""
WXTJ Special Programming,2023-08-09,These Walls,"",Kendrick Lamar,To Pimp A Butterfly,2015,Aftermath/Interscope,""
WXTJ Special Programming,2023-08-09,Nakamarra,"","Hiatus Kaiyote, Q-Tip",Tawk Tomahawk,2013,Pineapple Spaceship,""
WXTJ Special Programming,2023-08-09,Soul Sister,"",Bilal,1st Born Second,2001,Interscope Records,""
WXTJ Special Programming,2023-08-09,Cruisin',"",D'Angelo,Brown Sugar,1995,Virgin Records,""
WXTJ Special Programming,2023-08-09,I Confess,"",Bahamadia,Kollage,1996,Capitol Records,""
WXTJ Special Programming,2023-08-09,Lonely Lover,"",Xenia Rubinos,Black Terry Cat,2016,Anti,""
WXTJ Special Programming,2023-08-16,Half Forgotten Daydreams,4:08,John Cameron,Kpm 1000 series : Voices in Harmony,1973,KPM music,""
WXTJ Special Programming,2023-08-16,Nicole,4:19,Enrico Intra,Momenta Intra,1978,Peer Southern Productions,""
WXTJ Special Programming,2023-08-16,Voices For Sadness Theme,1:44,Franco Micalizzi,Stridulum,1979,Universal,""
WXTJ Special Programming,2023-08-16,Troupeau bleu,5:03,Cortex,Troupeau bleu,1975,KP&P,""
WXTJ Special Programming,2023-08-16,Last War,6:17,Beres Hammond & Zappow,Zap Pow,1978,Vp,""
WXTJ Special Programming,2023-08-16,Here I come,3:46,Barrington Levy,Here I Come,2001,P. Love,""
WXTJ Special Programming,2023-08-16,Chase The Devil,2:57,Max Romeo,Best of Max Romeo,2008,Charmax,""
WXTJ Special Programming,2023-08-16,For The Love Of you,5:37,The Isley Brothers,The Essential Isley Brothers,2004,Sony,""
WXTJ Special Programming,2023-08-16,Lets Stay Together,3:19,Al Green,Lets stay together,1972,Fat Possum,""
WXTJ Special Programming,2023-08-16,Everybody Loves the Sunshine,4:02,Roy Ayers Ubiquity,Everybody loves the sunshine,1976,Verve,""
WXTJ Special Programming,2023-08-16,Imaginary Playmates,4:37,Rene & Angela,Wall to Wall,1981,Capitol Records,""
WXTJ Special Programming,2023-08-16,No Ordinary Love,7:20,Sade,Love Deluxe,1992,Sony,""
WXTJ Special Programming,2023-08-16,Huit octobre 1971,4:26,Cortex,Troupeau bleu,1975,KP&P,""
WXTJ Special Programming,2023-08-16,Whats Going on,3:52,Marvin Gaye,Whats going on,1971,Motown,""
WXTJ Special Programming,2023-08-16,Super Stupid,3:57,Funkadelic,Maggot Brain,1971,Westbound,""
WXTJ Special Programming,2023-08-16,Aint No Sunshine,2:06,Bill Withers,Just As I Am,1971,Sony,""
WXTJ Special Programming,2023-08-16,Love T.K.O,4:59,Teddy Pendergrass,TP,1980,Sony,""
WXTJ Special Programming,2023-08-16,When Somebody Loves You Back,4:56,Teddy Pendergrass,Life is a song worth singing about,1978,Sony,""
WXTJ Special Programming,2023-08-16,Diana In The Autumn Wind,2:59,Gap Mangione,Sing Along Junk,1972,Mercury,""
WXTJ Special Programming,2023-08-16,The Detectives,2:30,Alan Tew,Drama Suite part I,1976,Themes,""
WXTJ Special Programming,2023-08-16,Make Me Twice the man,3:37,The Notations,The Notations,1976,Rhino,""
Beyond the Riff,2023-08-23,Light into Dark,2:54,Windhand,Eternal Return,2018,Relapse Records,""
Beyond the Riff,2023-08-23,The Falconist,6:06,High On Fire,Luminiferous,2015,eOne Music,""
Beyond the Riff,2023-08-23,Gemini,9:40,Elder,Dead Roots Stirring,2011,MeteorCity,""
Beyond the Riff,2023-08-23,The Last Leaf,5:14,Monolord,No Comfort,2019,Relapse Records,""
Beyond the Riff,2023-08-23,Extinction Event,5:34,Forming the Void,Rift,2018,Forming the Void,""
Beyond the Riff,2023-08-23,Part II,4:30,Spotlights,We Are All Atomic,2020,BLUES FUNERAL RECORDINGS,""
Beyond the Riff,2023-08-23,Mirage,4:45,Camel Driver,II,2020,Pink Tank Records,""
Beyond the Riff,2023-08-23,Wither,5:33,Elephant Tree,Elephant Tree,2016,Magnetic Eye Records,""
Beyond the Riff,2023-08-23,Times Missing,5:04,Torche,Admission,2019,Relapse Records,""
Beyond the Riff,2023-08-23,Devoid Of Redemption,8:16,Pallbearer,Sorrow and Extinction,2012,Profound Lore,""
Beyond the Riff,2023-08-23,Heavy Blanket,5:57,Ruby the Hatchet,Valley of the Snake,2015,"Brutal Panda Records, Inc.",""
Beyond the Riff,2023-08-23,Shockwave City,4:00,Uncle Acid & The Deadbeats,Wasteland,2018,Rise Above Limited,""
Beyond the Riff,2023-08-23,Beggar's Need,4:12,electric citizen,Sateen,2014,RidingEasy Records,""
Beyond the Riff,2023-08-23,Blood Red Sky,5:00,Freedom Hawk,Into Your Mind,2015,Small Stone Records Co.,""
Beyond the Riff,2023-08-23,Ocean Deep,5:32,Greenleaf,Trails & Passes,2014,Small Stone Records Co.,""
Beyond the Riff,2023-08-23,Unspoken,4:47,Kylesa,Ultraviolet,2013,Season of Mist,""
Beyond the Riff,2023-08-23,Red Cloud,4:14,Windhand,Eternal Return,2018,Relapse Records,""
Beyond the Riff,2023-08-23,Siren Song,3:33,Mutoid Man,Mutants,2023,Sargent House,""
Beyond the Riff,2023-08-23,1970,5:01,Boris,Heavy Rocks (2002),2023,Third Man Records LLC,""
Beyond the Riff,2023-08-23,Shine,6:31,Baroness,Shine,2023,Abraxan Hymns,""
Beyond the Riff,2023-08-23,Original Face,7:03,YOB,Our Raw Heart,2018,Relapse Records,""
Beyond the Riff,2023-08-30,If Not Us Then Who,4:10,Power Trip,Nightmare Logic,"","",""
Beyond the Riff,2023-08-30,Elevated Man,4:37,Goatsnake,Black Age Blues,2015,Southern Lord Records,""
Beyond the Riff,2023-08-30,Dead Montain,4:18,Potion,Women of the Wand,2018,"",""
Beyond the Riff,2023-08-30,Coming Down from Outer Space,5:47,Acid Kings,Middle of,2015,Svart Records,""
Beyond the Riff,2023-08-30,Sorrow,6:42,Firebreather,Dwell in the Fog,2022,Riding Easy Records,""
Beyond the Riff,2023-08-30,Harvester,3:20,Dorthia Cottrell,Death Folk Country,2023,Relapse Records,""
Beyond the Riff,2023-08-30,Hawk as Weapon,6:20,Conan,Monnos,2012,Burning World Records,""
Beyond the Riff,2023-08-30,Gold,3:32,Somali Yacht Club,The Space,2022,Season of Mi,""
Beyond the Riff,2023-08-30,Electronaut,5:24,Telekinetic Yeti,Abominable,2017,Telekinetic Yeti,""
Beyond the Riff,2023-08-30,Glasgow Mega-Snake,3:37,Mogwai,Mr. Beast,2006,"Play it Again Sam, Matador",""
Beyond the Riff,2023-08-30,Into the Fray,4:32,Year of the Cobra,Ash and Dust,2019,Prophecy Productions,""
Beyond the Riff,2023-08-30,The Botanist,6:27,Sleep,The Sciences,2018,Third Man Records,""
Beyond the Riff,2023-08-30,Lullaby (Take 2: How Dry I Am),3:15,Earth,Phase 3: Thrones and Dominions,1995,Sub Pop,""
Beyond the Riff,2023-08-30,Alruna,7:50,Mammoth Storm,Alruna,2019,Argonauta Records,""
Beyond the Riff,2023-08-30,Sorceress,5:49,Opeth,Sorceress,2016,Nuclear Blast,""
Beyond the Riff,2023-08-30,Carry,6:45,ISIS,Oceanic (Remastered),2002,Hydrahead/Ipecac Recordings,""
Beyond the Riff,2023-08-30,The Art of Dying,9:54,Gojira,The Way of all Flesh,2008,Listenable/Prosthetic,""
Beyond the Riff,2023-08-30,Symbolic,6:32,Death,Symbolic (Remastered),1995,Roadrunner Records,""
Beyond the Riff,2023-08-30,Killing Floor,6:46,Emma Ruth Rundle & Thou,May Our Chambers Be Full,2020,Sacred Bones Records,""
Beyond the Riff,2023-08-30,"",0:00,"","","","",""
tall guy bops,2023-08-31,Barbie World (with Aqua),1:49,"Nicki Minaj, Ice Spice, Aqua",Barbie The Album,2023,Atlantic Records,""
tall guy bops,2023-08-31,Angel (From Barbie The Album),2:03,PinkPantheress,Angel (From Barbie The Album),2023,Atlantic Records,""
tall guy bops,2023-08-31,Dance The Night - From Barbie The Album,2:56,Dua Lipa,Dance The Night (From Barbie The Album),2023,Atlantic Records,""
tall guy bops,2023-08-31,Speed Drive,1:57,Charli XCX,Barbie The Album,2023,Atlantic Records,""
tall guy bops,2023-08-31,Baby Tonight,3:18,Black Polish,Baby Tonight,2021,Ben Records,""
tall guy bops,2023-08-31,Vroom Vroom,3:13,Charli XCX,Vroom Vroom EP,2016,Vroom Vroom Recordings,""
tall guy bops,2023-08-31,LoveGame,3:36,Lady Gaga,The Fame,2008,Interscope,""
tall guy bops,2023-08-31,Deli,2:06,Ice Spice,Like..? (Deluxe),2023,10K Projects/Capitol Records,""
tall guy bops,2023-08-31,Boy's a Liar Pt. 2,2:11,"PinkPantheress, Ice Spice",Boy's a liar Pt. 2,2023,Warner Records,""
tall guy bops,2023-08-31,HEATED,4:20,Beyoncé,RENAISSANCE,2022,Parkwood Entertainment/Columbia,""
tall guy bops,2023-08-31,Squidward Nose,"",CupcakKe,Squidward Nose,"","",""
tall guy bops,2023-08-31,AMERICA HAS A PROBLEM,3:18,Beyoncé,RENAISSANCE,2022,Parkwood Entertainment/Columbia,""
tall guy bops,2023-08-31,Maneater,4:18,Nelly Furtado,Loose,2006,Mosley / Geffen,""
tall guy bops,2023-08-31,Luxury,2:48,Azealia Banks,Broke with Expensive Taste,2014,Prospect Park,""
tall guy bops,2023-08-31,U KNOW ME,2:54,COBRAH,U KNOW ME,2019,COBRAH,""
tall guy bops,2023-08-31,BANG,3:09,COBRAH,COBRAH,2021,COBRAH,""
tall guy bops,2023-08-31,Bad Girls,3:47,M.I.A.,Matangi,2013,Interscope,""
tall guy bops,2023-08-31,Paint The Town Red,3:51,Doja Cat,Paint The Town Red,2023,Kemosabe Records/RCA Records,""
tall guy bops,2023-08-31,Super Freaky Girl,2:50,Nicki Minaj,Queen Radio: Volume 1,2022,Republic Records,""
tall guy bops,2023-08-31,Her,2:17,Megan Thee Stallion,Traumazine,2022,300 Entertainment,""
tall guy bops,2023-08-31,GOOD PUSS,3:40,COBRAH,GOOD PUSS,2021,"Artist Partner Group, Inc",""
tall guy bops,2023-08-31,Deceptacon,3:04,Le Tigre,Le Tigre,1999,"Mr. Lady Records, Le Tigre Records",""
tall guy bops,2023-08-31,Welcome To My Island - George Daniel & Charli XCX Remix,3:22,"Caroline Polachek, Charli XCX, George Daniel",Welcome To My Island (George Daniel & Charli XCX Remix),2023,Perpetual Novice,""
tall guy bops,2023-08-31,Slut Pop,1:57,Kim Petras,Slut Pop,2022,Republic Records,""
tall guy bops,2023-08-31,Rush,2:36,Troye Sivan,Rush,2023,EMI Recorded Music Australia Pty Ltd,""
